NOSE_X,NOSE_Y,LEFT_EAR_X,LEFT_EAR_Y,RIGHT_EAR_X,RIGHT_EAR_Y,LEFT_SHOULDER_X,LEFT_SHOULDER_Y,RIGHT_SHOULDER_X,RIGHT_SHOULDER_Y,LEFT_HIP_X,LEFT_HIP_Y,RIGHT_HIP_X,RIGHT_HIP_Y,LEFT_ELBOW_X,LEFT_ELBOW_Y,RIGHT_ELBOW_X,RIGHT_ELBOW_Y,LEFT_WRIST_X,LEFT_WRIST_Y,RIGHT_WRIST_X,RIGHT_WRIST_Y,LEFT_PINKY_X,LEFT_PINKY_Y,RIGHT_PINKY_X,RIGHT_PINKY_Y,LEFT_INDEX_X,LEFT_INDEX_Y,RIGHT_INDEX_X,RIGHT_INDEX_Y,LEFT_THUMB_X,LEFT_THUMB_Y,RIGHT_THUMB_X,RIGHT_THUMB_Y,action
-0.15067282310312757,-1.3641143462351786,-0.0716850488131359,-1.3758679954221182,-0.259313899027352,-1.3929201295325264,0.06704615452713318,-0.9977498750504175,-0.40646450340999607,-0.9849607583889238,0.0,0.0,-0.27638843610900055,0.013379183054239572,0.33055620510167855,-0.7047597439015648,-0.5997567390007739,-0.6235690607955214,0.37850225093503526,-0.2977128061158193,-0.6679825117953991,-0.23129813668041424,0.4064122798330186,-0.15730856174627056,-0.6909752064164996,-0.11661619067379073,0.34859812177591054,0.022460254244329705,-0.6356198441273329,0.06950383550607502,0.3344649983459956,-0.19549334359383005,-0.6121578233374345,-0.14378016847209524,ARRIERE
-0.15251641933272925,-1.3693991697445627,-0.06993466187139856,-1.3879564529544037,-0.25606164723082386,-1.4063180914448645,0.07564183340617027,-0.9971350525575526,-0.40084853915291346,-1.0044011378669642,0.0,0.0,-0.27553783622371397,0.01025261582627033,0.3254832620455485,-0.6490302831116587,-0.5971740258417589,-0.589648815345508,0.37235803705894666,-0.20462911340901566,-0.6908692879278051,-0.1948035164649398,0.4030347127924827,-0.07901583759598683,-0.7353703097236107,-0.08375172328986137,0.3420220051453253,0.09543212930225055,-0.6791728383546513,0.09456386913804854,0.3250404597684395,-0.11923192783833439,-0.6562516198948288,-0.1116420227673236,ARRIERE
-0.1509618154225319,-1.3484425932919144,-0.07550992088686967,-1.3610230641054912,-0.2528324856477945,-1.3707950083960814,0.07465716358454128,-0.997209259847456,-0.3963788571747392,-0.9867942540699879,0.0,0.0,-0.27415278152703115,0.011105442670030819,0.3573281453027962,-0.816439537870005,-0.6130886184785594,-0.8105009966843756,0.43740314664825364,-0.4640334075121528,-0.7398738100553622,-0.4854826224359959,0.4786347461254218,-0.3449717703830171,-0.790682569331402,-0.36563537156510695,0.4122621435911188,-0.1723516406741405,-0.7294148371747765,-0.19007174655158085,0.3894711651541095,-0.3831780752939213,-0.706986672546052,-0.3975635831471187,ARRIERE
-0.17096024664170104,-1.3972572300929578,-0.08343821280187232,-1.4157509844225882,-0.26177126152477176,-1.419759310061903,0.08057060954434221,-0.9967489036250069,-0.39806489388949295,-0.9961987909109754,0.0,0.0,-0.278015078419052,0.006264808918477912,0.2910646980884999,-0.6045438491167705,-0.5857831989154112,-0.5866574618150543,0.31766421445053217,-0.14603131689862356,-0.694519177939735,-0.1910014384486874,0.3323269045912996,-0.0018572740844972132,-0.74156572842515,-0.08285484720127177,0.2797842018068694,0.18407506291552483,-0.6900870307330179,0.1231098665360688,0.2587278805413873,-0.06541724295136406,-0.6676757197982774,-0.11166127298532456,ARRIERE
-0.1674382105568069,-1.3825267233607506,-0.07839234871105348,-1.4019766439836367,-0.2637658640657822,-1.4094248104102858,0.07208309476041706,-0.9973986301623642,-0.3990852334921064,-0.9840950548675919,0.0,0.0,-0.28305129655889855,0.011719417275706478,0.3017869727794037,-0.6781539780266703,-0.5705176668768001,-0.6221206951624042,0.4021607973546355,-0.28912827519371653,-0.7074722650565333,-0.26019363292424574,0.4526651905990442,-0.15071500207070887,-0.7634944913700652,-0.13754208712548444,0.3835033067428926,0.03259804607936188,-0.7142590566983985,0.04160544941072386,0.3649142614452178,-0.1838379710587315,-0.690063725925728,-0.16120573820849032,ARRIERE
-0.13438128439293281,-1.248628986858212,-0.042664466595685784,-1.280855506308923,-0.23660923415433607,-1.309114624590759,0.08161688199784024,-0.9966637770948388,-0.4057781620674867,-0.9869814987449826,0.0,0.0,-0.28271696249582273,0.00770374679325935,0.34064978967864085,-0.7576331979988628,-0.6163504860840535,-0.6906940290068595,0.4130797584947183,-0.35756698399657993,-0.6265204622107056,-0.30203629020192624,0.4503539628578366,-0.22224631494401417,-0.6413174074587412,-0.17326116110438558,0.38486496462661873,0.08534857549716728,-0.5633026486623476,0.11849152050885124,0.36205370016254523,-0.2609066802731536,-0.5391146136328306,-0.2255917097626924,ARRIERE
-0.15170304071765925,-1.207072736799117,-0.04762820242910809,-1.2589496634559356,-0.25142569786825875,-1.270111628223037,0.08338788949892352,-0.996517164872194,-0.4049831195127057,-0.9990044787216277,0.0,0.0,-0.28434085275002446,-0.00011338911464427798,0.34092321452714686,-0.7492752695693888,-0.635114938435583,-0.7094518189366907,0.4513418753876384,-0.3568843096303372,-0.754062677346633,-0.34135886744130645,0.51898845710484,-0.24004475570193648,-0.8158567609036952,-0.2384660041042051,0.4791496605769267,0.07582577335685776,-0.750001727197873,0.0573517026572353,0.44616775105097584,-0.24587295619465235,-0.7175157458522875,-0.26185110229252606,ARRIERE
-0.15549782957484692,-1.2017722825646635,-0.05558662311007513,-1.258713752129308,-0.25724719523242284,-1.26968481616573,0.07553021965219667,-0.9971435132012297,-0.4085753440213878,-0.9953012159122919,0.0,0.0,-0.28090333961405795,0.0005080568640957807,0.3300087752183102,-0.7086064840826263,-0.6262138653746518,-0.6639146235833231,0.4827330669722406,-0.36343226214162194,-0.7618047501159905,-0.2629950952131552,0.5665627873518104,-0.24486482928703512,-0.8318541036644943,-0.14972408760601374,0.5262626291636066,0.06288487347496166,-0.7726115992966557,0.14472661869149714,0.49156663545369317,-0.25312041552482556,-0.7353023556528027,-0.17884783929352555,ARRIERE
-0.16549341693533373,-1.1980819176386945,-0.06041600413164236,-1.2580312893935646,-0.257662301974356,-1.265154967242434,0.08509315719814967,-0.9963729997335592,-0.408053562107856,-0.9944951533539532,0.0,0.0,-0.2767023950972629,0.0024662399217892936,0.351007135810892,-0.8030110716820065,-0.6471088299476109,-0.6799271734452674,0.5013061005618668,-0.45006564900940077,-0.7839319982204307,-0.29597980722827955,0.5763344504870828,-0.35729579612539875,-0.8497332409250054,-0.1835487744919165,0.5291583489131358,-0.025676726310131223,-0.7943733639477721,0.1276734349287187,0.4973906303284564,-0.36206246282943627,-0.7558846805184476,-0.21202169042921304,ARRIERE
-0.14207262637278611,-1.2065761875629306,-0.05058998486649861,-1.261201977966392,-0.25278565854729046,-1.2618807858853367,0.0772546454759048,-0.9970113939932643,-0.40578335029047435,-0.9877715489282172,0.0,0.0,-0.28143558368745614,0.002924925505221139,0.34003101819053627,-0.7661416062136853,-0.6261709750604766,-0.6917918271065838,0.437850829727298,-0.3846983323244709,-0.7198924858936628,-0.29365800320440405,0.49879621734634677,-0.2630733827849519,-0.7885110831671128,-0.17063093688569936,0.45434769950712034,0.0483423502026778,-0.7182970260096772,0.11976518103449917,0.42106082685310153,-0.27444623887714675,-0.6872668904847445,-0.21242524327925888,ARRIERE
